song_id,filename,filepath,genre_id,genre
10150,010150.ogg,train/010150.ogg,7,Instrumental
7358,007358.ogg,train/007358.ogg,2,Punk
20573,020573.ogg,train/020573.ogg,5,Folk
11170,011170.ogg,train/011170.ogg,12,Old-Time / Historic
16662,016662.ogg,train/016662.ogg,1,Rock
1019,001019.ogg,train/001019.ogg,1,Rock
11198,011198.ogg,train/011198.ogg,9,International
23169,023169.ogg,train/023169.ogg,6,Chiptune / Glitch
839,000839.ogg,train/000839.ogg,9,International
22444,022444.ogg,train/022444.ogg,3,Experimental
16269,016269.ogg,train/016269.ogg,7,Instrumental
18844,018844.ogg,train/018844.ogg,8,Pop
12181,012181.ogg,train/012181.ogg,0,Electronic
17311,017311.ogg,train/017311.ogg,5,Folk
23275,023275.ogg,train/023275.ogg,7,Instrumental
13166,013166.ogg,train/013166.ogg,0,Electronic
6746,006746.ogg,train/006746.ogg,1,Rock
6501,006501.ogg,train/006501.ogg,1,Rock
12275,012275.ogg,train/012275.ogg,4,Hip-Hop
14620,014620.ogg,train/014620.ogg,9,International
16946,016946.ogg,train/016946.ogg,1,Rock
24102,024102.ogg,train/024102.ogg,3,Experimental
14132,014132.ogg,train/014132.ogg,8,Pop
7045,007045.ogg,train/007045.ogg,8,Pop
16076,016076.ogg,train/016076.ogg,0,Electronic
4056,004056.ogg,train/004056.ogg,9,International
4764,004764.ogg,train/004764.ogg,4,Hip-Hop
7446,007446.ogg,train/007446.ogg,7,Instrumental
9414,009414.ogg,train/009414.ogg,13,Jazz
15949,015949.ogg,train/015949.ogg,5,Folk
11939,011939.ogg,train/011939.ogg,3,Experimental
4742,004742.ogg,train/004742.ogg,7,Instrumental
12756,012756.ogg,train/012756.ogg,1,Rock
4131,004131.ogg,train/004131.ogg,3,Experimental
8430,008430.ogg,train/008430.ogg,0,Electronic
19408,019408.ogg,train/019408.ogg,5,Folk
5994,005994.ogg,train/005994.ogg,4,Hip-Hop
6268,006268.ogg,train/006268.ogg,2,Punk
19855,019855.ogg,train/019855.ogg,9,International
23036,023036.ogg,train/023036.ogg,6,Chiptune / Glitch
5121,005121.ogg,train/005121.ogg,11,Classical
13975,013975.ogg,train/013975.ogg,0,Electronic
21959,021959.ogg,train/021959.ogg,5,Folk
10740,010740.ogg,train/010740.ogg,10,Ambient Electronic
6345,006345.ogg,train/006345.ogg,1,Rock
21366,021366.ogg,train/021366.ogg,1,Rock
2464,002464.ogg,train/002464.ogg,0,Electronic
10319,010319.ogg,train/010319.ogg,0,Electronic
11524,011524.ogg,train/011524.ogg,0,Electronic
3700,003700.ogg,train/003700.ogg,2,Punk
15317,015317.ogg,train/015317.ogg,11,Classical
15947,015947.ogg,train/015947.ogg,12,Old-Time / Historic
2038,002038.ogg,train/002038.ogg,4,Hip-Hop
1749,001749.ogg,train/001749.ogg,0,Electronic
8593,008593.ogg,train/008593.ogg,1,Rock
2066,002066.ogg,train/002066.ogg,1,Rock
11090,011090.ogg,train/011090.ogg,3,Experimental
15664,015664.ogg,train/015664.ogg,1,Rock
18072,018072.ogg,train/018072.ogg,1,Rock
5464,005464.ogg,train/005464.ogg,0,Electronic
16365,016365.ogg,train/016365.ogg,0,Electronic
11373,011373.ogg,train/011373.ogg,1,Rock
2109,002109.ogg,train/002109.ogg,5,Folk
12600,012600.ogg,train/012600.ogg,3,Experimental
15915,015915.ogg,train/015915.ogg,4,Hip-Hop
23280,023280.ogg,train/023280.ogg,1,Rock
11376,011376.ogg,train/011376.ogg,1,Rock
12382,012382.ogg,train/012382.ogg,5,Folk
22774,022774.ogg,train/022774.ogg,2,Punk
22897,022897.ogg,train/022897.ogg,0,Electronic
16175,016175.ogg,train/016175.ogg,9,International
3763,003763.ogg,train/003763.ogg,7,Instrumental
16534,016534.ogg,train/016534.ogg,7,Instrumental
20365,020365.ogg,train/020365.ogg,1,Rock
1811,001811.ogg,train/001811.ogg,1,Rock
